longitude,latitude,h,ts,u,v
2.000000,40.000000,304.800000,0.000000,6.707678,-9.481694
4.000000,40.000000,304.800000,0.000000,9.377651,5.332041
6.000000,40.000000,304.800000,0.000000,4.306213,3.385817
8.000000,40.000000,304.800000,0.000000,1.462685,7.175097
10.000000,40.000000,304.800000,0.000000,1.722379,7.220367
12.000000,40.000000,304.800000,0.000000,6.969471,10.646672
14.000000,40.000000,304.800000,0.000000,3.106037,8.349133
16.000000,40.000000,304.800000,0.000000,2.008390,1.015660
2.000000,42.000000,304.800000,0.000000,0.520901,-1.093438
4.000000,42.000000,304.800000,0.000000,-1.820477,-10.588468
6.000000,42.000000,304.800000,0.000000,-4.752606,2.329474
8.000000,42.000000,304.800000,0.000000,-3.452042,0.691300
10.000000,42.000000,304.800000,0.000000,-0.784570,3.740673
12.000000,42.000000,304.800000,0.000000,-3.214510,5.169269
14.000000,42.000000,304.800000,0.000000,0.772885,1.161589
16.000000,42.000000,304.800000,0.000000,1.948199,2.229231
2.000000,44.000000,304.800000,0.000000,2.669460,-3.026587
4.000000,44.000000,304.800000,0.000000,-1.313716,-4.257053
6.000000,44.000000,304.800000,0.000000,-1.420131,0.404676
8.000000,44.000000,304.800000,0.000000,-0.646481,-0.013951
10.000000,44.000000,304.800000,0.000000,-1.833437,0.119568
12.000000,44.000000,304.800000,0.000000,-0.544799,0.307428
14.000000,44.000000,304.800000,0.000000,-1.836648,-0.307458
16.000000,44.000000,304.800000,0.000000,-2.573393,4.469499
2.000000,46.000000,304.800000,0.000000,1.203569,-1.754144
4.000000,46.000000,304.800000,0.000000,-0.676056,-0.700703
6.000000,46.000000,304.800000,0.000000,0.158763,-1.223607
8.000000,46.000000,304.800000,0.000000,-0.703943,0.612260
10.000000,46.000000,304.800000,0.000000,-0.246339,0.475936
12.000000,46.000000,304.800000,0.000000,-0.796687,0.284775
14.000000,46.000000,304.800000,0.000000,-0.110566,0.702632
16.000000,46.000000,304.800000,0.000000,0.738170,0.767057
2.000000,48.000000,304.800000,0.000000,-4.188689,-2.267489
4.000000,48.000000,304.800000,0.000000,-2.559465,-3.972418
6.000000,48.000000,304.800000,0.000000,-2.639891,-2.395596
8.000000,48.000000,304.800000,0.000000,-0.929381,-1.215003
10.000000,48.000000,304.800000,0.000000,-2.280425,-1.615580
12.000000,48.000000,304.800000,0.000000,-1.497094,-0.530061
14.000000,48.000000,304.800000,0.000000,-0.502640,-0.635699
16.000000,48.000000,304.800000,0.000000,2.219361,-1.562305
2.000000,50.000000,304.800000,0.000000,-1.641186,-0.828828
4.000000,50.000000,304.800000,0.000000,-2.083577,-1.844697
6.000000,50.000000,304.800000,0.000000,-0.036400,-3.128621
8.000000,50.000000,304.800000,0.000000,-0.277598,-2.455796
10.000000,50.000000,304.800000,0.000000,-0.291192,-1.062161
12.000000,50.000000,304.800000,0.000000,-0.017007,0.292012
14.000000,50.000000,304.800000,0.000000,-1.360994,-0.563476
16.000000,50.000000,304.800000,0.000000,-1.151649,-0.153628
2.000000,52.000000,304.800000,0.000000,3.321586,-4.489614
4.000000,52.000000,304.800000,0.000000,5.863504,-1.396622
6.000000,52.000000,304.800000,0.000000,5.106178,-0.179609
8.000000,52.000000,304.800000,0.000000,4.003831,-0.288770
10.000000,52.000000,304.800000,0.000000,0.823624,0.840570
12.000000,52.000000,304.800000,0.000000,-1.171141,1.380151
14.000000,52.000000,304.800000,0.000000,0.298847,0.371810
16.000000,52.000000,304.800000,0.000000,-2.028489,1.101747
2.000000,54.000000,304.800000,0.000000,-4.303257,-8.537281
4.000000,54.000000,304.800000,0.000000,-1.851441,-6.509762
6.000000,54.000000,304.800000,0.000000,2.133136,0.800019
8.000000,54.000000,304.800000,0.000000,-2.514242,5.881711
10.000000,54.000000,304.800000,0.000000,-3.469666,2.894561
